year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1828,LA,LA,5,True,Andrew Jackson,Democratic,True,4603,5,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,LA,LA,5,True,John Quincy Adams,National Republican,True,4076,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MA,MA,15,True,Andrew Jackson,Democratic,True,6016,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MA,MA,15,True,John Quincy Adams,National Republican,True,29842,15,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-1,1,True,Andrew Jackson,Democratic,True,1101,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-1,1,True,John Quincy Adams,National Republican,True,2027,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-2,1,True,Andrew Jackson,Democratic,True,1328,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-2,1,True,John Quincy Adams,National Republican,True,1771,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-3,2,True,Andrew Jackson,Democratic,True,6177,2,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-3,2,True,John Quincy Adams,National Republican,True,6117,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-4,2,True,Andrew Jackson,Democratic,True,6058,2,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-4,2,True,John Quincy Adams,National Republican,True,5743,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-5,1,True,Andrew Jackson,Democratic,True,2942,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
